bugID,hour,week_day,month_day,month,year_day,component,title_size,platform,severity,priority,cc_count,comment_size,invalid_status,is_closed,patch_count,fixing_time,reopened_count,triaging_time,uptime,developer_count,reporter_exp,assignee_exp,region
343850,3,Fri,7,Jul,188,31,5,All,critical,--,5,134,NO,1,3,278,0,-1,330.0,9,19,7,moderate
344300,15,Tue,11,Jul,192,23,9,All,critical,--,8,84,NO,1,1,8524,0,-1,421.0,10,10,6,isolated
344305,16,Tue,11,Jul,192,150,11,x86,critical,P1,21,90,NO,1,4,10482,0,-1,175.0,22,11,8,isolated
344557,10,Thu,13,Jul,194,23,9,x86,critical,--,7,100,NO,1,2,376,0,-1,515.0,8,12,7,isolated
344749,20,Fri,14,Jul,195,153,7,PowerPC,critical,--,3,74,NO,1,1,107,0,2.54,226.5,7,20,1,moderate
345139,18,Tue,18,Jul,199,23,7,PowerPC,critical,--,3,105,YES,1,0,3550,0,-1,62.0,3,21,19,skewed
345529,13,Fri,21,Jul,202,160,13,All,critical,P2,27,140,NO,1,8,11598,0,83.51,32.0,29,1,1,isolated
345659,13,Sun,23,Jul,204,23,11,x86,critical,--,12,108,YES,1,0,47,0,-1,532.0,10,2,20,isolated
346090,6,Thu,27,Jul,208,111,7,x86,critical,P1,7,147,NO,1,3,1785,0,0.24,21.0,12,1,1,skewed
346405,2,Sat,29,Jul,210,23,7,x86,critical,--,14,136,NO,1,3,13102,0,-1,708.0,15,2,2,isolated
346431,9,Sat,29,Jul,210,13,4,x86,critical,--,7,71,NO,1,0,376,0,-1,147.0,10,1,3,isolated
348062,10,Wed,9,Aug,221,7,11,x86,critical,--,9,143,NO,1,3,384,0,15.26,659.0,10,13,2,isolated
348126,15,Wed,9,Aug,221,16,9,All,critical,--,8,112,NO,1,0,5707,1,-1,501.0,10,14,8,isolated
348887,12,Wed,16,Aug,228,23,10,x86,critical,--,9,90,NO,1,2,128,0,-1,155.5,8,15,9,isolated
348981,2,Thu,17,Aug,229,9,10,x86,critical,--,6,128,NO,1,3,31,0,-1,350.0,9,16,1,isolated
349463,22,Sun,20,Aug,232,53,7,All,critical,--,32,3053,NO,0,2,-1,0,401.62,154.0,32,1,21,isolated
349482,2,Mon,21,Aug,233,111,12,All,critical,P1,2,121,NO,1,1,8,0,0.02,436.0,8,22,6,isolated
349507,6,Mon,21,Aug,233,111,10,All,critical,P1,1,118,NO,1,3,6,0,0.24,38.0,8,23,7,isolated
350370,5,Sun,27,Aug,239,23,11,x86,critical,--,7,101,NO,1,1,21,0,-1,237.5,9,17,10,moderate
351236,12,Sun,3,Sep,246,9,12,All,critical,--,16,62,NO,1,6,6385,2,-1,350.0,14,18,4,isolated
351328,13,Mon,4,Sep,247,16,5,PowerPC,critical,--,6,99,NO,1,5,201,0,-1,122.0,12,24,7,isolated
352520,6,Wed,13,Sep,256,9,9,All,critical,--,26,99,NO,1,6,528,0,-1,321.0,31,2,1,isolated
352616,22,Wed,13,Sep,256,111,9,PowerPC,critical,--,2,125,NO,1,0,104,0,-1,4.0,4,25,3,isolated
352871,13,Fri,15,Sep,258,133,10,PowerPC,critical,--,4,109,NO,1,0,27382,0,-1,37.0,7,1,1,isolated
354645,0,Thu,28,Sep,271,159,7,PowerPC,critical,--,9,165,NO,1,0,3919,0,-1,127.0,12,26,5,isolated
354766,17,Thu,28,Sep,271,134,9,PowerPC,critical,--,5,127,NO,1,1,17,0,-1,178.0,8,27,4,moderate
354924,23,Fri,29,Sep,272,111,9,All,critical,P1,4,125,NO,1,1,13,0,0.5,74.5,9,28,8,isolated
355486,23,Wed,4,Oct,277,111,12,All,critical,P1,2,143,NO,1,4,1,0,0.04,2.0,8,29,9,isolated
355594,14,Thu,5,Oct,278,378,15,x86,critical,--,6,147,YES,1,0,23059,0,-1,1.0,8,1,22,isolated
356394,3,Thu,12,Oct,285,299,12,x86,critical,--,6,155,NO,1,0,25626,0,-1,262.0,5,1,23,isolated
358173,5,Thu,26,Oct,299,23,5,x86,critical,--,9,452,NO,0,0,-1,0,-1,61.5,9,1,24,skewed
358290,16,Thu,26,Oct,299,260,8,x86,critical,--,3,401,NO,1,0,42986,0,-1,323.0,8,1,25,isolated
359371,3,Fri,3,Nov,307,300,9,PowerPC,critical,--,3,94,NO,1,2,997,0,-1,589.5,8,30,4,isolated
360432,1,Sun,12,Nov,316,264,16,PowerPC,critical,--,2,92,YES,1,0,1701,0,-1,125.0,5,1,26,isolated
360599,13,Mon,13,Nov,317,23,9,x86,critical,--,8,76,YES,1,0,4247,1,-1,155.5,10,19,3,isolated
361389,7,Tue,21,Nov,325,23,10,x86,critical,--,7,85,NO,1,0,4742,0,-1,227.5,8,20,5,isolated
361617,19,Wed,22,Nov,326,111,9,PowerPC,critical,--,5,142,YES,1,0,1484,0,-1,159.0,6,31,2,isolated
